,site_name,sample_date,specimen_count,specimen_count_int,temperature,salinity,chlorophyll,turbidity,oxygen,rain_day_of,rain_prior_day,rain_2_days_prior,rain_3_days_prior,rain_3_day_total,rain_4_days_prior,rain_5_days_prior,rain_5_day_total,site_type
3261,Newtown Creek- Dutch Kills,7/23/2008 0:00,1110,1110,76.5,24,36,9,126,1,0,0,0,1,-99,-99,1,Hudson
3262,Newtown Creek- Dutch Kills,7/14/2008 0:00,<10,10,74.5,22.7,26,8,76,0.5,0,0,0,0.5,-99,-99,0.5,Hudson
3263,Newtown Creek- Dutch Kills,7/2/2008 0:00,81,81,72.1,23,56.8,4,139,0,0,0,0.6,0.6,-99,-99,0.6,Hudson
3264,Newtown Creek- Dutch Kills,6/24/2008 0:00,500,500,71,22.9,10.9,4,73,0,0.1,0.1,0,0.2,-99,-99,0.2,Hudson
3265,Newtown Creek- Dutch Kills,5/19/2008 0:00,41,41,58.6,21,4.5,2,60,0,0.1,0,0.9,1,-99,-99,1,Hudson
3266,Newtown Creek- Dutch Kills,9/6/2007 0:00,5,5,75,23.7,8.4,5,111,0,0,0,0,0,-99,-99,0,Hudson
3267,Newtown Creek- Dutch Kills,8/16/2007 0:00,21,21,76.5,23.4,17.4,13,69,0,0,0,0,0,-99,-99,0,Hudson
3268,Newtown Creek- Dutch Kills,7/11/2007 0:00,34,34,72.7,23.2,29,15,83,0,0,0,0,0,-99,-99,0,Hudson
3269,Newtown Creek- Dutch Kills,6/18/2007 0:00,<10,10,-99,-99,-99,-99,-99,0,0,0,0,0,-99,-99,0,Hudson
3270,Newtown Creek- Dutch Kills,5/23/2007 0:00,1,1,63.3,21.3,7.1,6,98,0,0,0,0,0,-99,-99,0,Hudson
3271,Newtown Creek- Dutch Kills,5/17/2007 0:00,717,717,64.9,17.9,9,17,92,0,0.8,0,0,0.8,-99,-99,0.8,Hudson
3272,Newtown Creek- Dutch Kills,4/18/2007 0:00,352,352,45.4,10.4,0.1,5,93,0,0,0.9,7.6,8.5,-99,-99,8.5,Hudson
3273,Newtown Creek- Dutch Kills,12/13/2006 0:00,107,107,46,19.9,2.2,7,71,0.2,0,0,0,0.2,-99,-99,0.2,Hudson
3274,Newtown Creek- Dutch Kills,11/10/2006 0:00,141,141,56.4,17.9,1,13,81,0,0,3.6,0,3.6,-99,-99,3.6,Hudson
3275,Newtown Creek- Dutch Kills,10/18/2006 0:00,1500,1500,65.6,17.3,24.9,14,70,0,1.1,0,0,1.1,-99,-99,1.1,Hudson
3276,Newtown Creek- Dutch Kills,9/26/2006 0:00,1,1,70.2,22.5,1.1,-99,79,0,0,0,0.1,0.1,-99,-99,0.1,Hudson
3277,Newtown Creek- Metropolitan Ave. Bridge,10/16/2017 0:00,256,256,68.8,22.9,9.9,2.1,28.4,0.01,0,0.08,0,0.09,0.07,0.06,0.22,Hudson
3278,Newtown Creek- Metropolitan Ave. Bridge,9/11/2017 0:00,10,10,69.4,20.8,116.5,3.8,125.3,0,0,0,0,0,0.01,0.42,0.43,Hudson
3279,Newtown Creek- Metropolitan Ave. Bridge,8/14/2017 0:00,134,134,76.2,20.3,22.8,5.9,84.3,0,0,0.11,0,0.11,0,0,0.11,Hudson
3280,Newtown Creek- Metropolitan Ave. Bridge,7/10/2017 0:00,75,75,73.4,18,8.5,4.8,67.2,0,0,0,1.78,1.78,0,0,1.78,Hudson
3281,Newtown Creek- Metropolitan Ave. Bridge,6/12/2017 0:00,10,10,69.3,19,54.5,4.6,111.9,0,0,0,0,0,0,0,0,Hudson
3282,Newtown Creek- Metropolitan Ave. Bridge,5/15/2017 0:00,2723,2723,56.6,6.4,5.9,7.8,40.7,0,0.02,1.61,0,1.63,0,0,1.63,Hudson
3283,Newtown Creek- Metropolitan Ave. Bridge,4/4/2017 0:00,24196,24196,49.7,3.8,1.8,18.5,78.1,1.18,0.03,0,0,1.21,1.51,0.01,2.73,Hudson
3284,Newtown Creek- Metropolitan Ave. Bridge,10/13/2016 0:00,97,97,66.5,23.1,140.1,34,46,0,0,0,0,0,0.6,0.2,0.8,Hudson
3285,Newtown Creek- Metropolitan Ave. Bridge,9/14/2016 0:00,41,41,75.7,23.3,14.8,-99,51,0,0,0,0,0,0,0.2,0.2,Hudson
3286,Newtown Creek- Metropolitan Ave. Bridge,8/15/2016 0:00,20,20,82.4,21.1,13.6,23,63,0,0.1,0,0.3,0.4,0.2,0.1,0.7,Hudson
3287,Newtown Creek- Metropolitan Ave. Bridge,7/13/2016 0:00,10,10,74.5,22.3,6.7,7,67,0,0,0,0,0,0.5,0.1,0.6,Hudson
3288,Newtown Creek- Metropolitan Ave. Bridge,6/15/2016 0:00,10,10,68.9,20.2,12.1,14,62,0,0,0,0,0,0,0,0,Hudson
3289,Newtown Creek- Metropolitan Ave. Bridge,5/20/2016 0:00,<10,10,59.8,19.6,59.7,-99,113,0,0,0,0,0,0,0,0,Hudson
3290,Newtown Creek- Metropolitan Ave. Bridge,10/12/2015 0:00,146,146,64.3,22.2,16.7,10,0,0,0,0,0.9,0.9,0,0,0.9,Hudson
3291,Newtown Creek- Metropolitan Ave. Bridge,9/11/2015 0:00,5476,5476,77.1,23.5,23.5,7,60,0,1.6,0,0,1.6,0,0,1.6,Hudson
3292,Newtown Creek- Metropolitan Ave. Bridge,8/12/2015 0:00,>24196,24196,74.9,20.5,12.5,5,45,0,1.2,0,0,1.2,0,0,1.2,Hudson
3293,Newtown Creek- Metropolitan Ave. Bridge,7/8/2015 0:00,20,20,73,20.7,36.7,7,63,0,0.1,0,0,0.1,0,0,0.1,Hudson
3294,Newtown Creek- Metropolitan Ave. Bridge,6/11/2015 0:00,10,10,66.5,20.6,11.6,-99,60,0,0,0,0.1,0.1,0,0.2,0.3,Hudson
3295,Newtown Creek- Metropolitan Ave. Bridge,5/12/2015 0:00,63,63,57.5,22.3,38.9,7,61,0,0,0,0,0,0,0,0,Hudson
3296,Newtown Creek- Metropolitan Ave. Bridge,10/13/2014 0:00,984,984,63.4,21.1,1.6,24,0,0,0,0.3,0,0.3,0,0,0.3,Hudson
3297,Newtown Creek- Metropolitan Ave. Bridge,9/7/2014 0:00,95,95,77.6,21.7,45.9,6,99,0,0.1,0,0,0.1,0,0,0.1,Hudson
3298,Newtown Creek- Metropolitan Ave. Bridge,8/11/2014 0:00,10,10,76,22.3,122,13,130,0,0,0,0,0,0,0,0,Hudson
3299,Newtown Creek- Metropolitan Ave. Bridge,7/7/2014 0:00,20,20,75.7,17.6,68.3,10,96,0,0,0,0.1,0.1,1.8,1,2.9,Hudson
3300,Newtown Creek- Metropolitan Ave. Bridge,6/12/2014 0:00,2012,2012,65.5,18,8.6,19,8,0,0,0,1.6,1.6,0,0,1.6,Hudson
3301,Newtown Creek- Metropolitan Ave. Bridge,5/12/2014 0:00,1553,1553,55.9,17.3,1.6,12,4,0,0,0.4,0,0.4,0.4,0,0.8,Hudson
3302,Newtown Creek- Metropolitan Ave. Bridge,10/16/2013 0:00,74,74,65.4,22.7,7.8,14,51,0,0,0,0,0,0,0,0,Hudson
3303,Newtown Creek- Metropolitan Ave. Bridge,9/18/2013 0:00,30,30,71.3,22.9,78.7,9,148,0,0,0,0,0,0,0.1,0.1,Hudson
3304,Newtown Creek- Metropolitan Ave. Bridge,8/14/2013 0:00,4352,4352,73,9.7,2.4,15,30,0,0.9,0.1,0,1,0,0.1,1.1,Hudson
3305,Newtown Creek- Metropolitan Ave. Bridge,7/17/2013 0:00,30,30,80.2,20.7,74.3,134,226,0,0,0,0,0,0.1,0.3,0.4,Hudson
3306,Newtown Creek- Metropolitan Ave. Bridge,6/19/2013 0:00,41,41,69.7,15,13,5,70,0,0.2,0,0,0.2,0,0.4,0.6,Hudson
3307,Newtown Creek- Metropolitan Ave. Bridge,5/31/2013 0:00,10,10,65.9,20.6,5.6,43,96,0,0,0,0.5,0.5,0,0,0.5,Hudson
3308,Newtown Creek- Metropolitan Ave. Bridge,11/8/2012 0:00,1095,1095,50.1,19.7,4.3,6,28,0.1,1.1,0,0,1.2,-99,-99,1.2,Hudson
3309,Newtown Creek- Metropolitan Ave. Bridge,10/10/2012 0:00,446,446,65.6,22.4,63.2,5,50,0.3,0,0,0.2,0.5,-99,-99,0.5,Hudson
3310,Newtown Creek- Metropolitan Ave. Bridge,9/10/2012 0:00,63,63,73.7,11.6,53.4,31,86,0,0,0.4,0,0.4,-99,-99,0.4,Hudson
3311,Newtown Creek- Metropolitan Ave. Bridge,8/13/2012 0:00,<10,10,80.7,30.8,35.3,15,257,0,0,0,0.2,0.2,-99,-99,0.2,Hudson
3312,Newtown Creek- Metropolitan Ave. Bridge,7/16/2012 0:00,414,414,79.7,30.1,64.4,11,136,0,0.3,0,0,0.3,-99,-99,0.3,Hudson
3313,Newtown Creek- Metropolitan Ave. Bridge,6/11/2012 0:00,<10,10,71,21.4,42.3,-99,119,0,0,0,0,0,-99,-99,0,Hudson
3314,Newtown Creek- Metropolitan Ave. Bridge,5/15/2012 0:00,146,146,61.2,20.6,21.9,6,50,0.5,0,0,0,0.5,-99,-99,0.5,Hudson
3315,Newtown Creek- Metropolitan Ave. Bridge,10/21/2011 0:00,2300,2300,61.6,18,0.1,3,47,0,0,1.1,0,1.1,-99,-99,1.1,Hudson
3316,Newtown Creek- Metropolitan Ave. Bridge,9/14/2011 0:00,10,10,74.6,13.6,2.6,2,33,0,0,0,0,0,-99,-99,0,Hudson
3317,Newtown Creek- Metropolitan Ave. Bridge,8/16/2011 0:00,613,613,73.7,11.6,2.1,9,25,0,0.6,5.8,0,6.4,-99,-99,6.4,Hudson
3318,Newtown Creek- Metropolitan Ave. Bridge,7/19/2011 0:00,10,10,79.9,20.9,94.1,74,298,0,0.1,0,0,0.1,-99,-99,0.1,Hudson
3319,Newtown Creek- Metropolitan Ave. Bridge,6/27/2011 0:00,<10,10,75.7,18.9,279.9,24,289,0,0,0,0,0,-99,-99,0,Hudson
3320,Newtown Creek- Metropolitan Ave. Bridge,5/16/2011 0:00,1063,1063,57.6,18.3,68.1,97,98,0.2,0.9,0,0,1.1,-99,-99,1.1,Hudson
3321,Newtown Creek- Metropolitan Ave. Bridge,10/12/2010 0:00,>24196,24196,66.3,15.3,27.3,16,61,0.1,1.1,0,0,1.2,-99,-99,1.2,Hudson
3322,Newtown Creek- Metropolitan Ave. Bridge,9/11/2010 0:00,10,10,72.8,24.1,80.1,9,134,0,0,0,0,0,-99,-99,0,Hudson
3323,Newtown Creek- Metropolitan Ave. Bridge,8/17/2010 0:00,3873,3873,77.8,25.1,12.8,8,61,0,0.1,0.2,0,0.3,-99,-99,0.3,Hudson
3324,Newtown Creek- Metropolitan Ave. Bridge,7/21/2010 0:00,30,30,77.4,23.8,36.5,8,90,0,0,0.1,0,0.1,-99,-99,0.1,Hudson
3325,Newtown Creek- Metropolitan Ave. Bridge,6/15/2010 0:00,10,10,68.9,23.1,43.7,15,172,0,0,0.3,0,0.3,-99,-99,0.3,Hudson
3326,Newtown Creek- Metropolitan Ave. Bridge,6/3/2010 0:00,<10,10,-99,-99,-99,-99,-99,0,0,0,0,0,-99,-99,0,Hudson
3327,Newtown Creek- Metropolitan Ave. Bridge,5/21/2010 0:00,93,93,61.9,19.3,27.8,6,49,0,0,0,1.1,1.1,-99,-99,1.1,Hudson
3328,Newtown Creek- Metropolitan Ave. Bridge,10/29/2009 0:00,>24196,24196,-99,-99,-99,-99,-99,0,1.3,0.6,0,1.9,-99,-99,1.9,Hudson
3329,Newtown Creek- Metropolitan Ave. Bridge,10/19/2009 0:00,10,10,55.3,22.2,2.5,1,56,0,0.3,0,0.1,0.4,-99,-99,0.4,Hudson
3330,Newtown Creek- Metropolitan Ave. Bridge,10/9/2009 0:00,20,20,-99,-99,-99,-99,-99,0,0,0.2,0,0.2,-99,-99,0.2,Hudson
3331,Newtown Creek- Metropolitan Ave. Bridge,9/14/2009 0:00,20,20,73,20.6,48.5,23,110,0,0,0,0.8,0.8,-99,-99,0.8,Hudson
3332,Newtown Creek- Metropolitan Ave. Bridge,8/20/2009 0:00,98,98,77.6,21.4,22.8,12,83,0,0,0.6,0,0.6,-99,-99,0.6,Hudson
3333,Newtown Creek- Metropolitan Ave. Bridge,7/28/2009 0:00,<10,10,77,20.3,81.7,21,297,0,0.6,1.4,0,2,-99,-99,2,Hudson
3334,Newtown Creek- Metropolitan Ave. Bridge,7/15/2009 0:00,<10,10,-99,-99,-99,-99,-99,0,0,0,0,0,-99,-99,0,Hudson
3335,Newtown Creek- Metropolitan Ave. Bridge,6/22/2009 0:00,880,880,70,8.6,40,27,186,0,0.5,0.3,0,0.8,-99,-99,0.8,Hudson
3336,Newtown Creek- Metropolitan Ave. Bridge,6/18/2009 0:00,>24196,24196,-99,-99,-99,-99,-99,2.3,0,0,0.5,2.8,-99,-99,2.8,Hudson
3337,Newtown Creek- Metropolitan Ave. Bridge,6/5/2009 0:00,977,977,-99,-99,-99,-99,-99,0.9,0.5,0.5,0.1,2,-99,-99,2,Hudson
3338,Newtown Creek- Metropolitan Ave. Bridge,5/12/2009 0:00,<10,10,60.3,18.1,8.3,2,62,0,0,0,0.6,0.6,-99,-99,0.6,Hudson
3339,Newtown Creek- Metropolitan Ave. Bridge,10/20/2008 0:00,10,10,60.8,22.9,84.2,7,243,0,0,0,0,0,-99,-99,0,Hudson
3340,Newtown Creek- Metropolitan Ave. Bridge,9/26/2008 0:00,>24196,24196,-99,-99,-99,-99,-99,2.3,0.1,0,0,2.4,-99,-99,2.4,Hudson
3341,Newtown Creek- Metropolitan Ave. Bridge,9/24/2008 0:00,<10,10,69.7,22.6,37.2,6,143,0,0,0,0,0,-99,-99,0,Hudson
3342,Newtown Creek- Metropolitan Ave. Bridge,8/19/2008 0:00,223,223,76.5,21.1,35,46,16,0,0,0,0,0,-99,-99,0,Hudson
3343,Newtown Creek- Metropolitan Ave. Bridge,7/23/2008 0:00,>24196,24196,77.5,16.5,56.9,27,72,1,0,0,0,1,-99,-99,1,Hudson
3344,Newtown Creek- Metropolitan Ave. Bridge,7/14/2008 0:00,>24196,24196,73.4,19.9,67,20,61,0.5,0,0,0,0.5,-99,-99,0.5,Hudson
3345,Newtown Creek- Metropolitan Ave. Bridge,7/2/2008 0:00,159,159,73,21.9,38,34,44,0,0,0,0.6,0.6,-99,-99,0.6,Hudson
3346,Newtown Creek- Metropolitan Ave. Bridge,6/24/2008 0:00,268,268,71.7,21.7,8.5,35,11,0,0.1,0.1,0,0.2,-99,-99,0.2,Hudson
3347,Newtown Creek- Metropolitan Ave. Bridge,5/19/2008 0:00,341,341,58.5,18.6,44.5,10,75,0,0.1,0,0.9,1,-99,-99,1,Hudson
3348,Newtown Creek- Metropolitan Ave. Bridge,9/6/2007 0:00,5,5,74.9,22.8,60.6,17,135,0,0,0,0,0,-99,-99,0,Hudson
3349,Newtown Creek- Metropolitan Ave. Bridge,8/16/2007 0:00,48,48,77.9,21.1,89.5,17,110,0,0,0,0,0,-99,-99,0,Hudson
3350,Newtown Creek- Metropolitan Ave. Bridge,7/11/2007 0:00,296,296,71.5,23,4.2,19,5,0,0,0,0,0,-99,-99,0,Hudson
3351,Newtown Creek- Metropolitan Ave. Bridge,6/18/2007 0:00,24,24,-99,-99,-99,-99,-99,0,0,0,0,0,-99,-99,0,Hudson
3352,Newtown Creek- Metropolitan Ave. Bridge,5/23/2007 0:00,123,123,63,20.3,3.2,28,21,0,0,0,0,0,-99,-99,0,Hudson
3353,Newtown Creek- Metropolitan Ave. Bridge,5/17/2007 0:00,1500,1500,64.6,14.3,60.8,22,65,0,0.8,0,0,0.8,-99,-99,0.8,Hudson
3354,Newtown Creek- Metropolitan Ave. Bridge,4/18/2007 0:00,894,894,48.7,3.7,0.1,24,61,0,0,0.9,7.6,8.5,-99,-99,8.5,Hudson
3355,Newtown Creek- Metropolitan Ave. Bridge,12/13/2006 0:00,227,227,45.5,18.2,19.7,10,55,0.2,0,0,0,0.2,-99,-99,0.2,Hudson
3356,Newtown Creek- Metropolitan Ave. Bridge,11/10/2006 0:00,760,760,58.2,6.9,3.2,18,33,0,0,3.6,0,3.6,-99,-99,3.6,Hudson
3357,Newtown Creek- Metropolitan Ave. Bridge,10/18/2006 0:00,1500,1500,65.2,16.9,15.5,34,20,0,1.1,0,0,1.1,-99,-99,1.1,Hudson
3358,Newtown Creek- Metropolitan Ave. Bridge,9/26/2006 0:00,8,8,69.8,21.2,-99,-99,94,0,0,0,0.1,0.1,-99,-99,0.1,Hudson
4651,The Battery mid-channel,10/15/2017 0:00,10,10,69.3,21.1,2.1,5.8,79.4,0,0.08,0,0.07,0.15,0.06,0,0.21,Hudson
4652,The Battery mid-channel,9/10/2017 0:00,<10,10,70.6,21.5,6.7,6,89,0,0,0,0.01,0.01,0.42,0,0.43,Hudson
4653,The Battery mid-channel,8/13/2017 0:00,<10,10,74.9,23.1,6.7,8.1,82.5,0,0.11,0,0,0.11,0,0,0.11,Hudson
4654,The Battery mid-channel,7/9/2017 0:00,<10,10,74.9,12.1,2.9,14.5,95.6,0,0,1.78,0,1.78,0,0,1.78,Hudson
4655,The Battery mid-channel,6/11/2017 0:00,<10,10,67.8,12.1,4.2,11.7,92.4,0,0,0,0,0,0,0.06,0.06,Hudson
4656,The Battery mid-channel,5/14/2017 0:00,10,10,58.5,6.4,2.4,18.6,96.8,0.02,1.61,0,0,1.63,0,0,1.63,Hudson
4657,The Battery mid-channel,4/4/2017 0:00,216,216,42.6,6.5,2,23.8,98.2,1.18,0.03,0,0,1.21,1.51,0.01,2.73,Hudson
4658,The Battery mid-channel,10/12/2016 0:00,<10,10,66,21.7,2.8,34,87,0,0,0,0.6,0.6,0.2,0,0.8,Hudson
4659,The Battery mid-channel,9/13/2016 0:00,<10,10,76.4,17.6,10.4,-99,102,0,0,0,0,0,0.2,0,0.2,Hudson
4660,The Battery mid-channel,8/14/2016 0:00,<10,10,82.6,15.1,23.5,26,142,0,0,0.3,0.2,0.5,0.1,0,0.6,Hudson
4661,The Battery mid-channel,7/12/2016 0:00,10,10,75,20.8,7,10,94,0,0,0,0.5,0.5,0.1,0,0.6,Hudson
4662,The Battery mid-channel,6/14/2016 0:00,<10,10,69.3,9.7,3.8,20,100,0,0,0,0,0,0,0,0,Hudson
4663,The Battery mid-channel,5/19/2016 0:00,<10,10,59.3,14.6,2.1,-99,97,0,0,0,0,0,0,0,0,Hudson
4664,The Battery mid-channel,10/11/2015 0:00,<10,10,65.7,20.4,3.8,11,88,0,0,0.9,0,0.9,0,0,0.9,Hudson
4665,The Battery mid-channel,9/10/2015 0:00,108,108,77.2,22,5.4,10,73,1.6,0,0,0,1.6,0,0,1.6,Hudson
4666,The Battery mid-channel,8/11/2015 0:00,288,288,74.5,22.7,4.2,8,84,1.2,0,0,0,1.2,0,0,1.2,Hudson
4667,The Battery mid-channel,7/7/2015 0:00,<10,10,72.1,21.2,3.1,25,80,0.1,0,0,0,0.1,0,0,0.1,Hudson
4668,The Battery mid-channel,6/10/2015 0:00,<10,10,65,21.9,3,-99,84,0,0,0.1,0,0.1,0.2,0.1,0.4,Hudson
4669,The Battery mid-channel,5/11/2015 0:00,<10,10,59.1,19.5,4.3,12,99,0,0,0,0,0,0,0,0,Hudson
4670,The Battery mid-channel,10/12/2014 0:00,<10,10,64.8,25.6,1.9,5,82,0,0.3,0,0,0.3,0,0.1,0.4,Hudson
4671,The Battery mid-channel,9/7/2014 0:00,<10,10,76.7,17.4,3.5,16,75,0,0.1,0,0,0.1,0,0,0.1,Hudson
4672,The Battery mid-channel,8/11/2014 0:00,<10,10,76,21.1,0.7,21,79,0,0,0,0,0,0,0,0,Hudson
4673,The Battery mid-channel,7/7/2014 0:00,<10,10,74.6,12.7,5.6,13,93,0,0,0,0.1,0.1,1.8,1,2.9,Hudson
4674,The Battery mid-channel,6/12/2014 0:00,20,20,65.7,16.8,18.2,20,100,0,0,0,1.6,1.6,0,0,1.6,Hudson
4675,The Battery mid-channel,5/12/2014 0:00,10,10,58,7.5,2.3,24,98,0,0,0.4,0,0.4,0.4,0,0.8,Hudson
4676,The Battery mid-channel,10/16/2013 0:00,<10,10,65.1,23.7,1.2,6,83,0,0,0,0,0,0,0,0,Hudson
4677,The Battery mid-channel,9/18/2013 0:00,<10,10,67.4,25.4,3.8,10,79,0,0,0,0,0,0,0.1,0.1,Hudson
4678,The Battery mid-channel,8/14/2013 0:00,52,52,73.5,19.7,3.9,30,80,0,0.9,0.1,0,1,0,0.1,1.1,Hudson
4679,The Battery mid-channel,7/17/2013 0:00,<10,10,78.8,13,10.7,110,93,0,0,0,0,0,0.1,0.3,0.4,Hudson
4680,The Battery mid-channel,6/19/2013 0:00,20,20,69.9,6,3.5,17,93,0,0.2,0,0,0.2,0,0.4,0.6,Hudson
4681,The Battery mid-channel,5/31/2013 0:00,<10,10,64.8,13.6,2.4,35,87,0,0,0,0.5,0.5,0,0,0.5,Hudson
4682,The Battery mid-channel,11/8/2012 0:00,86,86,51.4,11.9,1.2,17,91,0.1,1.1,0,0,1.2,-99,-99,1.2,Hudson
4683,The Battery mid-channel,10/10/2012 0:00,41,41,65.8,14.2,4.2,13,85,0.3,0,0,0.2,0.5,-99,-99,0.5,Hudson
4684,The Battery mid-channel,9/10/2012 0:00,10,10,76.5,18.8,6.1,50,79,0,0,0.4,0,0.4,-99,-99,0.4,Hudson
4685,The Battery mid-channel,8/13/2012 0:00,<10,10,80.7,19.5,7.5,8,109,0,0,0,0.2,0.2,-99,-99,0.2,Hudson
4686,The Battery mid-channel,7/16/2012 0:00,<10,10,78.3,22.4,4.9,8,88,0,0.3,0,0,0.3,-99,-99,0.3,Hudson
4687,The Battery mid-channel,6/11/2012 0:00,<10,10,69.5,17.5,3.1,-99,81,0,0,0,0,0,-99,-99,0,Hudson
4688,The Battery mid-channel,5/15/2012 0:00,<10,10,60.8,8.9,2.1,30,92,0.5,0,0,0,0.5,-99,-99,0.5,Hudson
4689,The Battery mid-channel,10/21/2011 0:00,63,63,62.2,11,1.3,21,85,0,0,1.1,0,1.1,-99,-99,1.1,Hudson
4690,The Battery mid-channel,9/14/2011 0:00,<10,10,72.8,5.7,1.6,43,81,0,0,0,0,0,-99,-99,0,Hudson
4691,The Battery mid-channel,8/16/2011 0:00,20,20,75.7,20.3,2,23,73,0,0.6,5.8,0,6.4,-99,-99,6.4,Hudson
4692,The Battery mid-channel,7/25/2011 0:00,<10,10,80.3,10.6,14.4,8,114,0,0,0,0,0,-99,-99,0,Hudson
4693,The Battery mid-channel,7/21/2011 0:00,10,10,-99,-99,-99,-99,-99,0,0,0,0.1,0.1,-99,-99,0.1,Hudson
4694,The Battery mid-channel,7/19/2011 0:00,<10,10,77.7,19.1,4.8,141,87,0,0.1,0,0,0.1,-99,-99,0.1,Hudson
4695,The Battery mid-channel,6/27/2011 0:00,10,10,76.2,4.8,7.5,36,94,0,0,0,0,0,-99,-99,0,Hudson
4696,The Battery mid-channel,5/16/2011 0:00,97,97,57,12.8,3.3,159,87,0.2,0.9,0,0,1.1,-99,-99,1.1,Hudson
4697,The Battery mid-channel,10/12/2010 0:00,134,134,66.2,16.3,4.6,8,83,0.1,1.1,0,0,1.2,-99,-99,1.2,Hudson
4698,The Battery mid-channel,9/11/2010 0:00,<10,10,70.6,27.4,7.7,19,98,0,0,0,0,0,-99,-99,0,Hudson
4699,The Battery mid-channel,8/17/2010 0:00,<10,10,76.8,21.6,3.1,7,61,0,0.1,0.2,0,0.3,-99,-99,0.3,Hudson
4700,The Battery mid-channel,7/21/2010 0:00,10,10,80,17.5,31.2,9,105,0,0,0.1,0,0.1,-99,-99,0.1,Hudson
4701,The Battery mid-channel,6/15/2010 0:00,<10,10,65.9,25.1,2.5,6,77,0,0,0.3,0,0.3,-99,-99,0.3,Hudson
4702,The Battery mid-channel,5/21/2010 0:00,20,20,60.8,14.6,2.2,22,87,0,0,0,1.1,1.1,-99,-99,1.1,Hudson
4703,The Battery mid-channel,10/19/2009 0:00,20,20,57.2,22.2,-99,-99,89,0,0.3,0,0.1,0.4,-99,-99,0.4,Hudson
4704,The Battery mid-channel,9/14/2009 0:00,<10,10,73,14.6,1.9,26,85,0,0,0,0.8,0.8,-99,-99,0.8,Hudson
4705,The Battery mid-channel,8/20/2009 0:00,<10,10,77.3,21.3,2.3,14,68,0,0,0.6,0,0.6,-99,-99,0.6,Hudson
4706,The Battery mid-channel,7/28/2009 0:00,10,10,76.2,17.7,3.5,8,76,0,0.6,1.4,0,2,-99,-99,2,Hudson
4707,The Battery mid-channel,6/22/2009 0:00,20,20,69.8,6.7,0.9,20,80,0,0.4,0.3,0,0.7,-99,-99,0.7,Hudson
4708,The Battery mid-channel,6/6/2009 0:00,52,52,-99,-99,-99,-99,-99,0,0.9,0.5,0.5,1.9,-99,-99,1.9,Hudson
4709,The Battery mid-channel,6/5/2009 0:00,10,10,-99,-99,-99,-99,-99,0.9,0.5,0.5,0.1,2,-99,-99,2,Hudson
4710,The Battery mid-channel,5/12/2009 0:00,10,10,60.2,11.6,1.3,17,91,0,0,0,0.6,0.6,-99,-99,0.6,Hudson
4711,The Battery mid-channel,10/20/2008 0:00,<10,10,62.3,25.4,1.2,2,83,0,0,0,0,0,-99,-99,0,Hudson
4712,The Battery mid-channel,9/24/2008 0:00,<10,10,70.3,16.4,1.7,9,79,0,0,0,0,0,-99,-99,0,Hudson
4713,The Battery mid-channel,8/19/2008 0:00,<10,10,73.1,23.7,2.6,6,80,0,0,0,0,0,-99,-99,0,Hudson
4714,The Battery mid-channel,7/14/2008 0:00,5,5,76.2,15,4.6,10,93,0.5,0,0,0,0.5,-99,-99,0.5,Hudson
4715,The Battery mid-channel,7/2/2008 0:00,<10,10,74.1,17.9,2.5,10,86,0,0,0,0.6,0.6,-99,-99,0.6,Hudson
4716,The Battery mid-channel,6/24/2008 0:00,47,47,70.5,20.7,2.7,8,83,0,0.1,0.1,0,0.2,-99,-99,0.2,Hudson
4717,The Battery mid-channel,5/19/2008 0:00,20,20,57.5,16.8,1.2,19,91,0,0.1,0,0.9,1,-99,-99,1,Hudson
4718,The Battery mid-channel,9/6/2007 0:00,2,2,74.4,24,2.9,4,78,0,0,0,0,0,-99,-99,0,Hudson
4719,The Battery mid-channel,8/16/2007 0:00,<10,10,76.7,23,3.3,10,77,0,0,0,0,0,-99,-99,0,Hudson
4720,The Battery mid-channel,7/11/2007 0:00,1,1,70.8,23.6,1.9,18,73,1,0,0,0,1,-99,-99,1,Hudson
4721,The Battery mid-channel,6/18/2007 0:00,<10,10,-99,-99,-99,-99,-99,0,0,0,0,0,-99,-99,0,Hudson
4722,The Battery mid-channel,5/23/2007 0:00,1,1,-99,-99,-99,-99,-99,0,0,0,0,0,-99,-99,0,Hudson
4723,The Battery mid-channel,4/18/2007 0:00,274,274,46.1,1.9,0.1,34,100,0,0,0.9,7.6,8.5,-99,-99,8.5,Hudson
4724,The Battery mid-channel,11/10/2006 0:00,107,107,53.6,7.9,1,39,92,0,0,3.6,0,3.6,-99,-99,3.6,Hudson
4725,The Battery mid-channel,10/18/2006 0:00,116,116,63.3,15.3,2.5,10,83,0,1.1,0,0,1.1,-99,-99,1.1,Hudson
4726,The Battery mid-channel,9/26/2006 0:00,<10,10,69.4,23.2,-99,-99,92,0,0,0,0.1,0.1,-99,-99,0.1,Hudson
