2010-05-23,57.2
2010-05-24,58.3
2010-05-25,59.5
2010-05-26,60.4
2010-05-27,61.0
2010-05-28,61.5
2010-05-29,61.5
2008-10-30,59.5
2008-10-31,59.7
2016-05-19,
2016-05-18,
2016-05-17,
2016-05-16,
2016-05-15,
2016-05-14,
2016-05-13,
2016-05-12,
2016-05-11,
2016-05-10,
2014-08-23,73.0
2014-08-22,73.2
2014-08-21,74.1
2014-08-20,73.6
2014-08-27,75.6
2014-08-26,75.0
2014-08-25,73.9
2014-08-24,73.2
2016-06-05,
2016-06-04,
2014-08-29,74.5
2014-08-28,75.2
2016-06-01,
2017-06-27,68.2
2016-06-03,
2016-06-02,
2015-09-29,71.4
2015-09-28,71.1
2015-09-25,72.0
2015-09-24,72.0
2015-09-27,70.7
2015-09-26,71.4
2015-09-21,72.7
2015-09-20,73.4
2015-09-23,72.3
2015-09-22,72.0
2011-08-26,73.4
2011-08-27,71.8
2011-08-24,73.4
2011-08-25,72.7
2011-08-22,74.1
2011-08-23,73.6
2011-08-20,74.8
2011-08-21,75.4
2011-08-28,71.4
2011-08-29,75.6
2017-11-01,62.1
2013-10-07,67.5
2013-10-06,67.6
2013-10-05,67.8
2013-10-04,67.6
2013-10-03,67.3
2013-10-02,67.1
2013-10-01,66.7
2013-10-09,66.9
2013-10-08,67.5
2015-06-02,59.5
2015-06-03,60.3
2011-10-29,57.2
2015-06-01,60.6
2015-06-06,61.0
2015-06-07,62.1
2015-06-04,60.3
2015-06-05,60.6
2011-10-23,62.2
2011-10-22,62.0
2011-10-21,62.6
2015-06-09,62.8
2011-10-27,59.0
2011-10-26,59.7
2011-10-25,60.6
2011-10-24,61.2
2013-06-17,65.3
2013-06-16,65.5
2013-06-15,65.7
2013-06-14,64.9
2013-06-13,66.0
2013-06-12,66.6
2013-06-11,66.4
2013-06-10,63.3
2013-06-19,67.3
2013-06-18,67.3
2012-09-26,69.6
2012-09-27,69.8
2012-09-24,70.2
2011-10-28,58.5
2012-09-22,70.5
2012-09-23,70.3
2012-09-20,69.8
2012-09-21,70.3
2008-09-05,77.5
2008-09-04,77.2
2008-09-07,78.4
2008-09-06,77.9
2014-07-31,72.9
2014-07-30,73.0
2012-09-28,69.4
2012-09-29,69.3
2015-06-08,62.1
2011-10-20,63.3
2017-09-30,72.0
2014-10-28,60.2
2012-06-06,66.7
2014-10-26,60.8
2012-06-08,67.6
