Corrected Common Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total Caught,Total Seasons,,Corrected Common Name,Total Caught
mussel,0,0,0,0,0,0,0,0,10,1,0,11,2,,pin fish,10
naked goby,0,0,0,1,0,0,0,0,1,0,0,2,2,,clam,10
northern kingfish,1,0,1,1,0,0,1,0,3,1,0,8,6,,cunner,10
northern pipefish,1,2,7,5,5,1,0,2,7,4,13,47,10,,sandworm,9
northern puffer,0,0,4,0,1,0,0,0,0,0,0,5,2,,mud crab,8
northern sea robin,0,0,1,0,0,0,0,0,1,0,0,2,2,,northern kingfish,8
northern seahorse,0,1,0,0,0,0,1,1,0,0,0,3,3,,glass shrimp,7
northern stargazer,0,0,0,0,1,0,0,0,0,0,0,1,1,,american eel,7
oyster drill snail,0,0,0,0,0,1,0,1,1,24,0,27,4,,skilletfish,6
oyster toadfish,1,0,2,2,2,1,1,0,2,1,0,12,8,,jelly fish,6
periwinkle,0,0,0,0,0,0,0,0,0,0,21,21,1,,spotted hake,6
pin fish,0,0,3,0,0,0,1,6,0,0,0,10,3,,white perch,6
pollock,0,0,0,0,0,0,0,0,0,0,1,1,1,,northern puffer,5
porgy,0,0,0,0,3,0,3,37,13,0,6,62,5,,lions mane jellyfish,4
red beard sponge,0,0,1,0,0,0,0,0,1,0,0,2,2,,box crab,4
ribbed mussel,0,0,0,0,1,0,0,0,0,0,2,3,2,,summer flounder,4
sand shrimp,1,1,8,0,0,0,5,14,1,48,17,95,8,,scud,4
sand worm,0,0,0,1,0,0,0,0,0,0,0,1,1,,atlantic herring,4
sandworm,0,0,1,0,1,0,0,1,3,2,1,9,6,,northern seahorse,3
scud,0,0,0,0,0,0,0,4,0,0,0,4,1,,unidentified mussel,3
sculpin,0,0,0,0,0,0,0,0,0,1,0,1,1,,ribbed mussel,3
sea robin,0,0,0,0,0,0,0,0,2,0,0,2,1,,wrasel sea bass,3
sea squirt,1,1,0,75,88,1,0,0,0,31,0,197,6,,spider crab,3
seaboard goby,0,0,0,0,0,0,0,0,1,0,0,1,1,,western mosquito fish,2
sennet,0,0,1,0,0,0,0,0,0,0,0,1,1,,unidentified sea snail,2
seven spine shrimp,0,0,0,0,32,0,0,0,0,0,0,32,1,,white mullet,2
sheepshead porgy,0,0,0,0,0,0,0,1,0,0,0,1,1,,anemone,2
shore shrimp,1,1,7,0,0,7,4,7,15,25,58,125,9,,windowpane flounder,2
silver perch,0,0,0,0,1,0,0,0,1,6,4,12,4,,black fingered mud crab,2
skilletfish,0,0,0,1,1,0,0,0,0,0,4,6,3,,horseshoe crab,2
spider crab,0,0,0,1,0,0,0,0,2,0,0,3,2,,northern sea robin,2
spotted hake,0,0,0,0,6,0,0,0,0,0,0,6,1,,isopod,2
spotted whiff,0,0,0,0,0,0,0,0,0,1,0,1,1,,sea robin,2
striped bass,1,1,7,24,3,2,35,64,16,43,15,211,11,,red beard sponge,2
striped burrfish,0,0,0,0,0,0,0,0,0,0,1,1,1,,naked goby,2
striped searobin,1,0,0,0,0,0,0,0,0,0,0,1,1,,sheepshead porgy,1
summer flounder,0,0,1,0,0,1,0,1,1,0,0,4,4,,american shad,1
tautog,0,0,0,0,0,0,0,4,1,7,5,17,4,,hogchoker,1
tube worm,0,0,0,1,0,0,0,0,0,0,0,1,1,,mantis shrimp,1
tunicate,0,0,0,0,1,0,0,8,34,1,0,44,4,,mole crab,1
unidentified fish,0,0,0,0,0,0,0,0,1,0,0,1,1,,white fingered mud crab,1
unidentified flatfish,0,0,2,6,8,0,2,0,0,0,2,20,5,,whelk snail,1
unidentified hermit crab,1,1,2,2,3,1,1,8,1,1,10,31,11,,grubby,1
unidentified herring,0,0,0,66,8,0,0,0,0,23,4,101,4,,unidentified sponge,1
unidentified jelly fish,0,0,1,0,0,0,0,0,0,0,0,1,1,,unidentified snail eggs,1
unidentified mussel,0,0,0,0,0,0,0,0,1,2,0,3,2,,mullet fish,1
unidentified sea snail,0,0,0,0,0,0,0,2,0,0,0,2,1,,northern stargazer,1
unidentified shrimp,0,0,1,129,26,3,0,0,12,0,0,171,5,,sennet,1
unidentified snail,0,1,2,73,22,1,0,6,0,0,0,105,6,,unidentified jelly fish,1
unidentified snail eggs,0,0,0,0,0,0,0,0,0,1,0,1,1,,pollock,1
unidentified sponge,0,0,0,0,0,0,0,1,0,0,0,1,1,,sand worm,1
western mosquito fish,0,0,0,0,0,0,0,0,2,0,0,2,1,,unidentified fish,1
whelk snail,0,0,0,0,0,0,0,0,1,0,0,1,1,,sculpin,1
white fingered mud crab,0,0,0,0,1,0,0,0,0,0,0,1,1,,tube worm,1
white mullet,0,0,0,0,2,0,0,0,0,0,0,2,1,,clam worm probably nereis spp,1
white perch,0,0,0,1,0,0,0,4,0,0,1,6,3,,striped searobin,1
windowpane flounder,0,0,0,0,0,0,1,0,1,0,0,2,2,,striped burrfish,1
winter flounder,1,0,6,0,0,0,4,9,5,9,4,38,7,,bluespotted cornetfish,1
wrasel sea bass,0,0,0,0,3,0,0,0,0,0,0,3,1,,spotted whiff,1
Total Caught Per Year,17,16,123,1345,664,687,213,1381,1699,921,983,8049,11,,seaboard goby,1
